Feature Name,Segmentation_segment_head_standard,Segmentation_segment_head_potology,abs_difference
Maximum2DDiameterColumn,71.82290720932981,55.93782262476794,15.885084584561874
SumAverage,82.49622870974174,98.1899475457761,15.693718836034364
Contrast,41.97409569770958,30.925039159055903,11.049056538653677
Maximum2DDiameterSlice,56.75077091987386,66.90231685076385,10.151545930889995
JointAverage,41.24811435487085,49.09497377288808,7.846859418017232
10Percentile,119.0,126.0,7.0
Maximum2DDiameterRow,89.62170496034987,95.49240807519728,5.870703114847402
Busyness,8.206714544076222,13.415637083591514,5.208922539515292
DifferenceVariance,18.77769492234202,14.791762722237722,3.9859322001042994
DependenceVariance,6.558858708080095,4.684443860820071,1.8744148472600237
MinorAxisLength,35.35043254486646,33.58852895788878,1.761903586977681
LargeDependenceEmphasis,19.83073064880653,18.768274816203274,1.0624558326032556
LargeAreaLowGrayLevelEmphasis,0.8303522216824433,1.7722325485169979,0.9418803268345546
LeastAxisLength,12.39634543805651,13.185237654819437,0.7888922167629264
ZoneEntropy,7.694439583662418,8.387761107968561,0.6933215243061435
DifferenceAverage,4.552446225048781,3.9016083075597168,0.6508379174890644
Kurtosis,2.1356784612350688,1.7510487249334787,0.38462973630159003
RunEntropy,6.41802393898558,6.73250417173959,0.3144802327540104
SurfaceVolumeRatio,0.49025129587411576,0.7772089417810227,0.286957645906907
Entropy,5.935859250001146,6.2053128880609,0.26945363805975386
SumEntropy,6.934671682747747,7.193060185673156,0.25838850292540894
DependenceEntropy,8.88444426399437,9.066589078732292,0.18214481473792254
DifferenceEntropy,3.6297062237124815,3.464875283742827,0.16483093996965437
Sphericity,0.3765704980714747,0.25215517530229775,0.12441532276917694
JointEntropy,10.337950971436202,10.421866247426257,0.083915275990055
ZonePercentage,0.3062658147060811,0.23416802984227816,0.07209778486380294
SmallDependenceEmphasis,0.28003339332227034,0.2233060753150082,0.056727318007262134
Imc1,-0.2641623184903232,-0.3206449875005708,0.05648266901024762
Strength,0.12740358321560677,0.07126943895486829,0.05613414426073848
SizeZoneNonUniformityNormalized,0.4164651645008295,0.3630260332489771,0.0534391312518524
Contrast,0.1260937266755806,0.1745088649380284,0.04841513826244778
Correlation,0.9181163912163076,0.9662601672342063,0.048143776017898654
Skewness,0.28081129851483333,0.2335307838030806,0.047280514711752736
Elongation,0.29902850487528115,0.3448660777642207,0.045837572888939526
SmallAreaEmphasis,0.6706545060304187,0.6254619084088984,0.04519259762152028
MCC,0.9270857477543087,0.9671159602827809,0.040030212528472164
Flatness,0.10486040411400442,0.13537780115668702,0.030517397042682595
Imc2,0.9677157569305478,0.9883932965321638,0.020677539601616002
InverseVariance,0.25036470386324305,0.2695623750570762,0.019197671193833143
Id,0.3344537418933482,0.35294216756494234,0.018488425671594144
Idm,0.25266371348245714,0.269268022678574,0.016604309196116884
RunLengthNonUniformityNormalized,0.8345540010760933,0.8200742283909115,0.014479772685181858
Idn,0.9525122133695372,0.9634223638701539,0.010910150500616722
LargeDependenceLowGrayLevelEmphasis,0.026361851324904432,0.01632102728728813,0.010040824037616303
RunVariance,0.1704606950593625,0.1617849247686922,0.00867577029067032
ShortRunEmphasis,0.9295483084118433,0.9234369084783776,0.0061113999334657665
GrayLevelNonUniformityNormalized,0.021648115509424724,0.016372094081861778,0.005276021427562946
DependenceNonUniformityNormalized,0.1500588227839114,0.14529204988318753,0.004766772900723859
RunPercentage,0.8983439212327284,0.8941214211669136,0.004222500065814816
GrayLevelNonUniformityNormalized,0.018199424069342253,0.01489749513617991,0.0033019289331623434
Uniformity,0.017872703057358878,0.014943455444346325,0.0029292476130125533
Idmn,0.9946024970289961,0.9968971580563484,0.0022946610273523182
LongRunLowGrayLevelEmphasis,0.001596391421213224,0.0011943066020690695,0.00040208481914415445
LowGrayLevelEmphasis,0.0010906647929638763,0.000839978172187227,0.00025068662077664934
LongRunEmphasis,1.4179792031909342,1.418221709915886,0.000242506724951852
LowGrayLevelRunEmphasis,0.001071638252571411,0.0008352873041457926,0.0002363509484256184
ShortRunLowGrayLevelEmphasis,0.0009832784034249122,0.0007665357657251393,0.0002167426376997729
LowGrayLevelZoneEmphasis,0.0009226297905597864,0.0007071660881929076,0.0002154637023668788
SmallAreaLowGrayLevelEmphasis,0.0005998040478828398,0.00041687654458381326,0.00018292750329902658
MaximumProbability,0.0034489978872130336,0.0035539772000331015,0.00010497931282006786
SmallDependenceLowGrayLevelEmphasis,0.00026142948687533175,0.00016208866123360139,9.934082564173037e-05
JointEnergy,0.0010756700136020823,0.0011037152853816206,2.8045271779538307e-05
Coarseness,4.254861155150846e-05,1.971259731703035e-05,2.283601423447811e-05
